company_id,normalized_name,category_code,status,logo_width,logo_height,country_code,city,investment_rounds,invested_companies,funding_rounds,funding_total_usd,milestones,relationships,aquisition_price_amount,top25pct,top50pct,istop25,istop26_50
c:10,flektor,games_video,acquired,186,85,USA,Culver City,0,0,0,0,0,6,20000000,0,0,0,0
c:1001,friendfeed,web,acquired,200,56,USA,Mountain View,0,0,1,5000000,3,14,47500000,64,18,1,1
c:1007,rupture,games_video,acquired,136,41,USA,San Francisco,0,0,1,3000000,2,6,15000000,0,0,0,0
c:101519,vidacare,hardware,acquired,330,130,USA,Shavano Park,0,0,1,274999,0,4,262500000,100,0,1,0
c:10158,studionow,photo_video,acquired,545,43,USA,Nashville,0,0,3,15286415,1,2,36500000,0,0,0,0
c:10170,videosurf,hardware,acquired,640,69,USA,San Mateo,0,0,1,28000000,3,7,100000000,0,0,0,0
c:10176,yammer,enterprise,acquired,1152,236,USA,San Francisco,0,0,5,142000000,3,38,1200000000,55,0,1,0
c:10197,postpath,web,acquired,206,58,USA,Mountain View,0,0,2,24300000,3,2,215000000,100,0,1,0
c:10202,alfabetic,advertising,acquired,200,73,ISR,Kibutz Tsorah,0,0,0,0,0,2,155000,0,0,0,0
c:10232,unilever,other,acquired,65,72,PAK,Karachi,0,0,0,0,2,59,575000000,20,7,1,1
c:10241,global crossing,public_relations,acquired,250,55,USA,Florham Park,0,0,1,41000000,2,16,3000000000,18,18,1,1
c:10253,iweb technologies,network_hosting,acquired,240,178,CAN,"Montreal, Qu̩bec",0,0,6,33521974,0,4,145000000,0,0,0,0
c:102572,sensing system,unknown,acquired,0,0,unknown,unknown,0,0,0,0,0,0,8500000,0,0,0,0
c:102573,mobile video services,unknown,acquired,0,0,unknown,unknown,0,0,0,0,0,0,4000000,0,0,0,0
c:102575,peak performance technologies,unknown,acquired,0,0,unknown,unknown,0,0,0,0,0,1,1100000,0,0,0,0
c:102849,golfsmith,unknown,acquired,296,72,USA,Austin,0,0,1,125000000,1,1,96000000,0,0,0,0
c:10356,ciao,web,acquired,144,40,DEU,Munich,0,0,0,0,2,2,154000000,0,0,0,0
c:104196,ascension orthopedics,biotech,acquired,0,0,USA,Austin,0,0,1,18664050,0,2,65000000,0,0,0,0
c:10421,turntide,unknown,acquired,0,0,unknown,unknown,0,0,1,750000,1,4,28000000,25,0,1,0
c:10455,akqa,advertising,acquired,164,96,USA,San Francisco,1,1,0,0,2,20,200000000,19,0,1,0
c:10479,vantagenet,web,acquired,153,62,unknown,unknown,0,0,0,0,0,2,550000,0,0,0,0
c:10485,ge healthcare,biotech,acquired,56,56,unknown,unknown,2,2,0,0,2,60,500000000,15,6,1,1
c:105,surphace,web,acquired,348,78,USA,New York,0,0,2,3500000,4,15,25000000,45,0,1,0
