company_id,entity_type,entity_id,parent_id,name,normalized_name,permalink,category_code,status,founded_at,closed_at,domain,homepage_url,twitter_username,logo_url,logo_width,logo_height,short_description,description,overview,tag_list,country_code,state_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,created_by,created_at,updated_at,aquisition_price_amount
c:10,Company,10,NA,Flektor,flektor,/company/flektor,games_video,acquired,NA,NA,flektor.com,http://www.flektor.com,NA,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0000/2398/2398v4-max-250x250.png,186,85,NA,NA,"Flektor is a rich-media mash-up platform that enables consumers to create, remix and share photos and videos on the internet without the need for advanced video-editing skills or software.

Fox Interactive Media, a division of News Corporation, announced that it had completed the purchase of Flektor on May 30, 2007.  The estimated puchase price is $15-20 million.","flektor, photo, video",USA,CA,Culver City,Los Angeles,NA,NA,0,0,NA,NA,0,0,NA,NA,0,6,initial-importer,2007-05-31T21:11:51Z,2008-05-23T23:23:14Z,20000000
c:1001,Company,1001,NA,FriendFeed,friendfeed,/company/friendfeed,web,acquired,2007-10-01,NA,friendfeed.com,http://friendfeed.com,friendfeed,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0000/1096/1096v1-max-250x250.png,200,56,NA,Social network aggregator,"[FriendFeed](http://www.friendfeed.com) aims to be a one stop shop for all your social networking updates and news items.  The four founders were all team members at [Google](/company/google) and helped to launch such products as [Google Maps](/product/google-maps), [Adsense](/product/google-adsense), [GMail](/product/gmail) and [Google Groups](/product/google-groups).  They've brought their expertise to a slightly different area: social network aggregating.

FriendFeed is a service which, instead of layering a meta-network on top of all your other social networks, will create a news feed incorporating them all much like the [Facebook](/company/facebook) news feed.  

Users tell the feed which networks they belong to (Facebook, [Digg](/company/digg), [Last.fm](/company/last-fm) etc) and FriendFeed personalizes a data feed with info from each of the sites.

The company was [acquired by Facebook](http://www.techcrunch.com/2009/08/10/facebook-acquires-friendfeed) in August 2009.","socialnetwork, newsfeed, socialnetworkaggregator",USA,CA,Mountain View,SF Bay,NA,NA,0,0,2008-02-26,2008-02-26,1,5000000,2008-05-01,2012-09-13,3,14,initial-importer,2007-10-01T10:17:13Z,2013-03-13T21:44:15Z,47500000
c:1007,Company,1007,NA,Rupture,rupture,/company/rupture,games_video,acquired,NA,NA,rupture.com,http://rupture.com,rupture,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0000/1117/1117v3-max-250x250.png,136,41,NA,Gaming Social Network,"Rupture was an online destination connecting gamers and allowing them to share gaming experiences, events, challenges, and achievements. The site was founded by Shawn Fanning and investor Ron Conway. After working together with the original Napster and then with music distributor [Snocap](http://crunchbase.com/company/snocap), the two began work on Rupture, a social network for MMORPGs; primarily for World of WarCraft (WOW) gamers.

The company was based in San Francisco, California. Parent company ThreeSF, Inc., was acquired by [Electronic Arts](/company/electronic-arts) on May 28, 2008.","wow, worldofwarcraft, socialnetwork, napster, snocap",USA,CA,San Francisco,SF Bay,NA,NA,0,0,2007-07-01,2007-07-01,1,3000000,2007-09-01,2012-08-25,2,6,initial-importer,2007-10-02T12:14:24Z,2013-06-24T20:23:54Z,15000000
c:101519,Company,101519,NA,Vidacare,vidacare,/company/vidacare,hardware,acquired,NA,NA,vidacare.com,http://www.vidacare.com,NA,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0015/3186/153186v1-max-250x250.png,330,130,NA,NA,"Vidacare Corporation, a medical device company, engages in the development, manufacture, and marketing of intraosseous access devices for diagnostic, monitoring, and therapeutic applications. The company provides EZ-IO Product System, which is designed to provide controlled vascular access through the intraosseous route to patients in emergent situations when vascular access is challenging and impossible. It also offers EZ-IO power driver, which is designed to penetrate the intraosseous space by drilling through the bone with a hollow needle and integrated stylet that doubles as the forward cutting bit to secure its correct placement; and EZ-IO Vascular Access Pack, a kit developed for emergency medical specialists to provide access to IV and IO devices to gain vascular access. In addition, the company provides a suite of hematology/oncology products, including a power driver and needle sets for bone marrow aspiration and biopsy; and OnControl, a bone marrow system for clinicians to perform bone marrow aspiration and biopsy procedures. Its products are used in pre-hospital, emergency, crash cart, and rapid response applications, as well as in military and homeland security industries. Vidacare Corporation was founded in 2001 and is headquartered in San Antonio, Texas.",NA,USA,TX,Shavano Park,San Antonio,NA,NA,0,0,2010-01-21,2010-01-21,1,274999,NA,NA,0,4,arun,2011-09-08T04:47:49Z,2011-09-08T04:47:49Z,262500000
c:10158,Company,10158,NA,StudioNow,studionow,/company/studionow,photo_video,acquired,2007-01-01,NA,studionow.com,http://www.studionow.com,NA,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0002/4208/24208v3-max-250x250.png,545,43,NA,NA,"[StudioNow](http://www.studionow.com) provides the full spectrum of ""Creation to Syndication"" empowering companies big and small to create more and do more with their Internet video strategy. They believe that the web will eventually become ""one big video"" and it is their goal and passion to help their customers obtain and integrate the highest quality resources (creative professionals and technology/software) at the lowest possible cost and time frame. By developing and implementing Internet video solutions for blue chip customers to local merchants across the country, they have proven that StudioNow is ""THE EXPERT"" in the Internet video space. They help their customers create any type of content, anywhere and at anytime and also manage/store the content and syndicate it to the desired sites throughout the world.","video-editing, photo-editing",USA,TN,Nashville,Nashville,NA,NA,0,0,2007-06-15,2013-01-29,3,15286415,2010-09-28,2010-09-28,1,2,cameronc,2008-08-26T22:45:14Z,2010-01-25T19:11:19Z,36500000
c:10170,Company,10170,NA,VideoSurf,videosurf,/company/videosurf,hardware,acquired,NA,NA,videosurf.com,http://www.videosurf.com,VideoSurf,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0002/4247/24247v4-max-250x250.jpg,640,69,NA,Leading video company,"VideoSurf is a video discovery company that helps consumers find what to watch from the world of video in an experience that is uniquely theirs. VideoSurf combines social insights with patented computer vision technology to discover, search and identify videos on any device. In addition to audio recognition, VideoSurf's technology ""sees"" frames inside videos, providing superior search relevancy and an enhanced user experience. 

VideoSurf's video discovery mobile app lets users discover, search and identify TV episodes, movies, music videos and video clips by doing a visual and audio search using their smartphone, or by typing a query directly into the app. Users can discover videos by simply pointing their phones at a television or computer screen to capture a few seconds of what they are watching. The VideoSurf mobile app quickly identifies the episode and celebrities, provides more information about what was identified and suggests other videos to watch. In addition, users can share what they are watching and help friends discover new videos by posting directly to Facebook and Twitter. 

The company was founded by a team of proven entrepreneurs and leading experts in search, multi-grid techniques, computer vision and fast computation.","techcrunch50, tc50",USA,CA,San Mateo,SF Bay,NA,NA,0,0,2011-01-01,2011-01-01,1,28000000,2011-01-01,2011-11-23,3,7,NA,2008-08-27T03:46:15Z,2012-08-02T17:45:01Z,100000000
c:10176,Company,10176,NA,Yammer,yammer,/company/yammer,enterprise,acquired,2008-09-10,NA,yammer.com,http://www.yammer.com,yammer,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0002/4256/24256v1-max-250x250.png,1152,236,"Yammer is an enterprise social network that enables employees to collaborate across departments, geographies and business applications.",Enterprise Social Network,"Yammer (www.yammer.com) is an Enterprise Social Network that brings together employees, content, conversations, and business data in a single location. Built for the entrprise and loved by users, Yammer empowers employees to be more productive by enabling them to collaborate in real-time across departments, geographies, and business applications. Employees can create groups to collaborate on projects and share and edit documents. It is a new way of working that fosters team collaboration, employee engagement, and business transformation.

The service can be accessed through the web, desktop, and mobile devices including iPhone, iPad, Windows Phone, Android, and Blackberry, enabling a ""virtual office"" that employees can plug into while on-the-go. Additionally, Yammer can be easily integrated with other systems such as Microsoft SharePoint, creating a social layer across all enterprise applications.

With a Freemium model, Yammer enables employees to voluntarily adopt the service. A premium version is available to paying customers and includes additional administrative and security controls, integration with other applications, priority customer service, and a dedicated customer success manager. More than 7 million users, including employees from 85 percent of the Fortune 500, have adopted Yammer's Software-as-a-Service solution.","techcrunch50, tc50, enterprise2-0, web2-0, social-enterprise, enterprise, social, social-networking, twitter",USA,CA,San Francisco,SF Bay,NA,NA,0,0,2009-01-19,2012-02-29,5,142000000,2012-01-12,2013-11-18,3,38,NA,2008-08-27T05:10:21Z,2013-08-28T02:53:03Z,1200000000
c:10197,Company,10197,NA,PostPath,postpath,/company/postpath,web,acquired,2003-01-01,NA,postpath.com,http://www.postpath.com,NA,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0002/4242/24242v1-max-250x250.png,206,58,NA,email and collaboration servers,"PostPath, Inc. develops email and collaboration servers for corporate messaging and collaboration environments. Its products include The PostPath Server, a Linux-based enterprise-email and collaboration server, which provide live and incremental backup and granular restore; PostPath WebMail, which provides AJAX browser-based access to email, calendar, contacts, and collaboration data; PostPath Web Configuration Tool, which provides GUI based and access-controlled administration; and PostPath Remote Office Extensions. The company was founded in 2003 as Apptran Software, Inc. and changed its name to PostPath, Inc. in 2006. 

PostPath, Inc. is headquartered in Mountain View, California. As of September 17, 2008, PostPath, Inc. operates as a subsidiary of Cisco Systems, Inc.",NA,USA,CA,Mountain View,SF Bay,NA,NA,0,0,2004-12-07,2007-01-16,2,24300000,2005-01-01,2013-03-08,3,2,mark,2008-08-27T15:58:36Z,2010-02-19T11:39:34Z,215000000
c:10202,Company,10202,NA,Alfabetic,alfabetic,/company/alfabetic,advertising,acquired,2007-02-01,NA,alfabetic.com,http://www.alfabetic.com,NA,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0002/4244/24244v6-max-250x250.jpg,200,73,NA,Cross-Platform Advertising,"Alfabetic is positioned to be the world's first Cross-Lingual Ad Network, allowing publishers to monetize their content across the language barrier. 

Alfabetic offers web content publishers a turnkey solution to translate, localize, distribute and monetize globally. All a publisher need supply is an RSS feed of their content, and Alfabetic builds a new target language version at no cost to the publisher with geo targeted advertising. Alfabetic is a profit center for publishers as revenue from this newly found audience flows back to the publisher. 

Alfabetic can translate and re-publish large amounts of content economically due to a proprietary publishing platform. At its core is an automated translation technology, developed in collaboration with some of the world's leading experts in the field. We assure professional grade translation thanks to our human review quality assurance process that in turn continually improves our domain specific translation technology. 

Tapping into the multi-billion dollar opportunity of the international audience, Alfabetic will function as a revenue multiplier for the world's leading publishers.","techcrunch50, tc50, translation, ad-network, machine-translation, syndication, blogs",ISR,NA,Kibutz Tsorah,Kibutz Tsorah,NA,NA,0,0,NA,NA,0,0,NA,NA,0,2,NA,2008-08-27T16:37:09Z,2013-06-28T21:40:13Z,155000
c:10232,Company,10232,NA,Unilever,unilever,/company/unilever,other,acquired,1930-01-01,NA,unilever.com,http://www.unilever.com,NA,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0006/5962/65962v1-max-250x250.png,65,72,NA,fast moving consumer goods,"Unilever produces and supplies fast moving consumer goods in food, and home and personal care product categories in Europe, the Americas, Asia, and Africa. It offers soups, bouillons, sauces, snacks, mayonnaise, salad dressings, olive oil, margarines, spreads, and frozen foods, as well as cooking products, such as liquid margarines under Knorr, Hellmann's, Becel/Flora, Rama/Blue Band, Calvé, WishBone, Amora, Ragù, and Bertolli brands. The company also provides ice creams under the international Heart brand, including Cornetto, Magnum, Carte d'Or and Solero, Wall's, Kibon, Algida, Ola, Ben & Jerry's, Breyers, Klondike, and Popsicle brands; tea-based beverages under Lipton, Brooke Bond, and PG Tips brands; weight management products under Slim-Fast brand; and nutritionally enhanced products under Annapurna and AdeS/Adez brands. In addition, it offers personal care products, including deodorants, anti-perspirants, skin care, and hair care products under Dove, Lux, Rexona, Sunsilk, Axe, Pond's, Suave, Clear, Lifebuoy, and Vaseline brands, as well as oral care products under Signal and Close Up brands. Further, the company provides laundry products, such as tablets, powders, liquids, and soap bars under Omo, Surf, Comfort, Radiant, Skip, and Snuggle brands; and household care products, including surface cleaners and bleach under Cif, Domestos, and Sun/Sunlight brands. It also offers solutions for professional chefs and caterers. 

The company sells its products through its sales force, independent brokers, agents, and distributors to chain, wholesale, co-operative, and independent grocery accounts; and food service distributors and institutions. It also distributes its products through a network of distribution centers, satellite warehouses, company-operated and public storage facilities, and depots.",NA,PAK,NA,Karachi,Karachi,NA,NA,0,0,NA,NA,0,0,2011-08-12,2013-01-01,2,59,NA,2008-08-28T01:41:47Z,2013-08-22T19:25:38Z,575000000
