company_id,normalized_name,category_code,status,logo_width,logo_height,country_code,state_code,city,investment_rounds,invested_companies,funding_rounds,funding_total_usd,milestones,relationships,aquisition_price_amount,top25pct,top50pct,istop25,istop26_50,name_length
c:10,flektor,games_video,acquired,186,85,USA,CA,Culver City,0,0,0,0,0,6,20000000,0,0,0,0,7
c:1001,friendfeed,web,acquired,200,56,USA,CA,Mountain View,0,0,1,5000000,3,14,47500000,64,18,1,1,10
c:102572,sensing system,unknown,acquired,0,0,unknown,unknown,unknown,0,0,0,0,0,0,8500000,0,0,0,0,14
c:10479,vantagenet,web,acquired,153,62,unknown,unknown,unknown,0,0,0,0,0,2,550000,0,0,0,0,10
c:1059,dotspotter,web,acquired,200,45,USA,unknown,unknown,0,0,0,0,3,1,20000000,0,0,0,0,10
c:10656,highschoolalumni,unknown,acquired,0,0,unknown,unknown,unknown,0,0,0,0,0,0,1000000,0,0,0,0,16
c:1070,eloqua,enterprise,acquired,247,91,USA,VA,Vienna,0,0,2,35800000,4,26,871000000,35,15,1,1,6
c:11216,securent,software,acquired,164,56,USA,CA,Mountain View,0,0,0,0,1,2,100000000,0,0,0,0,8
c:11694,four11,web,acquired,208,65,unknown,unknown,unknown,0,0,0,0,1,3,92000000,100,0,1,0,6
c:11725,log me on,unknown,acquired,124,52,unknown,unknown,unknown,0,0,0,0,0,1,10000000,100,0,1,0,9
c:1194,pickspal,games_video,acquired,200,53,USA,CA,Mountain View,0,0,4,15000000,2,2,9500000,0,0,0,0,8
c:11947,baazee,unknown,acquired,250,64,unknown,unknown,unknown,0,0,0,0,1,2,50000000,0,0,0,0,6
c:11948,eachnet,web,acquired,133,67,unknown,unknown,unknown,0,0,0,0,0,0,150000000,0,0,0,0,7
c:12178,exacttarget,software,acquired,150,80,USA,IN,Indianapolis,0,0,7,238209999,3,29,2500000000,12,4,1,1,11
c:1224,peer39,advertising,acquired,167,58,USA,NY,New York,0,0,7,29915001,5,18,15500000,60,0,1,0,6
c:1234,vitrue,enterprise,acquired,142,92,USA,GA,Atlanta,0,0,4,33000000,5,26,300000000,29,7,1,1,6
c:126,sidestep,web,acquired,168,59,USA,CA,Santa Clara,0,0,4,32000000,4,12,180000000,70,0,1,0,8
c:12625,mezimedia,web,acquired,121,77,USA,CA,Monrovia,0,0,0,0,0,0,352000000,0,0,0,0,9
c:12662,mediaselling,unknown,acquired,0,0,unknown,unknown,unknown,0,0,0,0,0,0,1430000,0,0,0,0,12
c:12734,qwitter,web,acquired,327,91,unknown,unknown,unknown,0,0,0,0,2,0,11111,0,0,0,0,7
c:1285,compete,consulting,acquired,600,200,USA,MA,Boston,0,0,4,33000000,5,35,150000000,38,0,1,0,7
c:1288,chintano,advertising,acquired,330,111,USA,WA,Seattle,0,0,0,0,0,9,30000000,20,40,1,1,8
c:13012,moviefone,games_video,acquired,270,270,USA,IL,Chicago,0,0,0,0,2,2,525000000,100,0,1,0,9
c:13108,inmarsat,unknown,acquired,160,83,unknown,unknown,unknown,0,0,0,0,0,2,25000000,100,0,1,0,8
c:13168,trovix,search,acquired,152,56,USA,CA,Mountain View,0,0,2,18250000,1,3,72500000,100,0,1,0,6
c:132,last fm,music,acquired,66,42,GBR,unknown,London,0,0,1,5000000,5,21,280000000,58,0,1,0,7
c:1337,visual sciences,web,acquired,185,62,USA,CA,San Diego,0,0,0,0,0,6,394000000,20,0,1,0,15
c:13518,quickarrow,software,acquired,175,58,USA,TX,Austin,0,0,0,0,1,1,19400000,0,100,0,1,10
c:1361,realage,web,acquired,129,56,USA,CA,San Diego,0,0,0,0,1,8,100000000,20,0,1,0,7
c:13781,softimage,software,acquired,104,25,CAN,unknown,Montreal,0,0,0,0,1,4,35000000,0,0,0,0,9
c:138072,ekr therapeutics,biotech,acquired,204,84,USA,NJ,Bedminster,0,0,0,0,0,3,150000000,0,0,0,0,16
c:13864,digitalthink,unknown,acquired,0,0,USA,CA,San Francisco,0,0,0,0,1,10,120000000,30,0,1,0,12
c:139031,ixos software ag,unknown,acquired,0,0,unknown,unknown,unknown,0,0,0,0,0,1,206000000,100,0,1,0,16
c:139237,trustgo,security,acquired,180,180,USA,CA,Santa Clara,0,0,2,1500000,1,2,36000000,0,0,0,0,7
c:140137,decompras,unknown,acquired,0,0,unknown,unknown,unknown,0,0,0,0,0,0,70000,0,0,0,0,9
c:140823,stellartv,unknown,acquired,0,0,unknown,unknown,unknown,0,0,0,0,0,0,5200000,0,0,0,0,9
c:141501,rempex pharmaceuticals,biotech,acquired,276,61,USA,CA,San Diego,0,0,1,67500000,1,11,464000000,30,0,1,0,22
c:141917,point,ecommerce,acquired,120,49,SWE,unknown,Stockholm,0,0,0,0,0,0,820000000,0,0,0,0,5
c:142004,snip it,web,acquired,218,225,USA,CA,San Francisco,0,0,0,0,2,3,10000000,50,0,1,0,7
c:14300,zilog,unknown,acquired,293,53,unknown,unknown,unknown,0,0,0,0,1,8,62400000,0,43,0,1,5
c:1450,phanfare,web,acquired,183,67,USA,NJ,Princeton,0,0,3,5000000,4,4,2000000,100,0,1,0,8
c:146449,bold software,software,acquired,171,37,USA,KS,Wichita,0,0,0,0,0,0,16500000,0,0,0,0,13
c:1465,sendori,advertising,acquired,331,75,unknown,unknown,unknown,0,0,1,800000,3,9,25000000,50,17,1,1,7
c:14861,vocollect,hardware,acquired,420,78,USA,PA,Pittsburgh,0,0,0,0,1,13,190000000,0,0,0,0,9
c:15088,sterling commerce,software,acquired,185,159,USA,OH,Dublin,0,0,0,0,1,9,3900000000,11,11,1,1,17
c:1541,dapper,advertising,acquired,200,53,USA,CA,San Francisco,0,0,1,3000000,4,19,55000000,53,0,1,0,6
c:15436,nstein technologies,software,acquired,124,64,CAN,unknown,Montreal,0,0,0,0,3,9,34000000,0,0,0,0,19
c:15451,radiance,network_hosting,acquired,0,0,unknown,unknown,unknown,0,0,1,26000000,1,5,5000000,50,0,1,0,8
c:1552,56,games_video,acquired,2492,1863,CHN,unknown,Guangzhou,0,0,2,30000000,4,2,80000000,0,0,0,0,2
c:15871,montavista software,software,acquired,168,56,USA,CA,Santa Clara,0,0,1,21000000,1,4,50000000,25,0,1,0,19
c:159667,nano publishing,unknown,acquired,0,0,unknown,unknown,unknown,0,0,0,0,0,1,350000,0,0,0,0,15
c:161152,vital support systems,enterprise,acquired,229,100,USA,IA,Urbandale,0,0,0,0,0,0,45000000,0,0,0,0,21
c:16271,mu dynamics,network_hosting,acquired,297,96,USA,CA,Sunnyvale,0,0,3,24000000,1,5,40000000,80,0,1,0,11
c:16616,network physics,software,acquired,0,0,USA,CA,Mountain View,0,0,1,8630000,1,3,10000000,33,33,1,1,15
c:16726,capitalstream,enterprise,acquired,214,52,unknown,unknown,unknown,0,0,0,0,1,3,40000000,33,0,1,0,13
c:1674,infinity box,web,acquired,600,600,USA,FL,Tampa,0,0,2,118000,3,10,35000000,0,0,0,0,12
c:169318,orthohelix surgical designs,hardware,acquired,196,40,USA,OH,Medina,0,0,0,0,0,1,135000000,0,0,0,0,27
c:1705,tripadvisor,web,acquired,700,412,USA,MA,Newton,1,1,1,0,3,38,210000000,50,0,1,0,11
c:171191,tiny lino,unknown,acquired,0,0,unknown,unknown,unknown,0,0,0,0,0,0,4900,0,0,0,0,9
c:17205,com2us,mobile,acquired,115,19,USA,CA,Menlo Park,1,1,1,8000000,2,4,65000000,50,0,1,0,6
c:1722,jellyfish,web,acquired,200,55,USA,WI,Middleton,0,0,1,5000000,0,2,50000000,0,0,0,0,9
